latitude,longitude,distance_from_last_point_m,cumulative_distance_m
40.87015,-73.91462,68.417,20767.527
40.87023,-73.91454,11.153,20778.68
40.8706300001616,-73.9142450019401,50.927,20829.607
40.87103,-73.91395,50.927,20880.534
40.8714500041827,-73.9149399936034,95.448,20975.982
40.87187,-73.91593,95.448,21071.431
40.8721350017643,-73.9165599975983,60.616,21132.047
40.8724,-73.91719,60.616,21192.663
40.87248,-73.91736,16.836,21209.499
40.8720233368702,-73.9179966753987,73.785,21283.284
40.8715666702397,-73.9186333420149,73.785,21357.069
40.87111,-73.91927,73.785,21430.855
40.87106,-73.91935,8.727,21439.582
40.87112,-73.91938,7.133,21446.714
40.87106,-73.91935,7.133,21453.847
40.870545002391,-73.9201000058886,85.184,21539.031
40.87003,-73.92085,85.184,21624.215
40.8696950011693,-73.9213650025686,57.121,21681.336
40.86936,-73.92188,57.121,21738.457
40.86919,-73.9223,40.057,21778.514
40.8688500038601,-73.9232550051229,88.757,21867.271
40.86851,-73.92421,88.757,21956.029
40.8681950033242,-73.9250800039842,81.109,22037.138
40.86788,-73.92595,81.109,22118.247
40.86742,-73.92653,70.675,22188.921
40.8669350020688,-73.9272250051144,79.523,22268.444
40.86645,-73.92792,79.523,22347.967
40.86645,-73.92793,0.841,22348.808
40.86634,-73.92808,17.57,22366.378
40.8660000005764,-73.9276699977148,51.166,22417.544
40.86566,-73.92726,51.166,22468.71
40.86548,-73.92757,32.866,22501.576
40.86547,-73.92758,1.394,22502.97
40.86547,-73.92756,1.682,22504.652
40.86545,-73.9276,4.032,22508.684
40.86536,-73.92779,18.853,22527.537
40.86536,-73.92782,2.523,22530.059
40.86538,-73.92782,2.224,22532.283
40.8650500015707,-73.9284300031061,63.069,22595.353
40.86472,-73.92904,63.069,22658.422
40.86438,-73.92949,53.491,22711.913
40.86419,-73.92967,25.99,22737.903
40.86379,-73.92999,51.985,22789.887
40.86354,-73.93012,29.871,22819.758
40.8633,-73.9302,27.522,22847.28
40.86253,-73.93011,85.954,22933.234
40.86223,-73.93012,33.369,22966.603
40.86204,-73.93017,21.541,22988.145
40.86174,-73.93029,34.851,23022.996
40.8611900004347,-73.9306150027113,66.987,23089.983
40.86064,-73.93094,66.987,23156.969
40.8597950004305,-73.9312900045058,98.462,23255.432
40.85895,-73.93164,98.462,23353.894
40.85862,-73.9318,39.084,23392.977
40.8578825019245,-73.9321875129532,88.244,23481.222
40.8571450025522,-73.9325750172779,88.244,23569.466
40.8564075018832,-73.9329625129745,88.244,23657.711
40.85567,-73.93335,88.244,23745.955
40.85537,-73.93347,34.852,23780.807
40.85529,-73.93348,8.935,23789.742
40.854740000122,-73.9336650015445,63.105,23852.848
40.85419,-73.93385,63.105,23915.953
40.8533566682033,-73.934276677418,99.369,24015.322
40.8525233348345,-73.9347033441026,99.369,24114.69
40.85169,-73.93513,99.369,24214.059
40.85168,-73.93513,1.112,24215.171
40.8509900006304,-73.9354800035934,82.178,24297.349
40.8503,-73.93583,82.178,24379.527
40.8505333393814,-73.9366666607857,75.002,24454.53
40.850766672718,-73.9375033274641,75.002,24529.532
40.851,-73.93834,75.002,24604.534
40.85127,-73.93921,79.094,24683.629
40.8514,-73.93974,46.863,24730.492
40.85142,-73.94008,28.683,24759.175
40.8514,-73.94073,54.716,24813.891
40.85142,-73.94095,18.637,24832.528
40.8515,-73.94123,25.174,24857.703
40.85144,-73.94129,8.365,24866.068
40.85156,-73.94149,21.471,24887.539
40.85183,-73.94185,42.64,24930.179
40.85239,-73.9413,77.572,25007.751
40.85236,-73.94124,6.049,25013.8
40.85253,-73.94163,37.859,25051.659
40.8527,-73.94152,21.046,25072.705
40.85271,-73.94153,1.394,25074.099
40.85232,-73.94185,51.039,25125.138
40.85231,-73.94182,2.757,25127.896
40.8519100009016,-73.9422650026347,58.13,25186.026
40.85151,-73.94271,58.131,25244.157
40.8515,-73.94271,1.112,25245.269
40.85104,-73.9431,60.764,25306.033
40.85092,-73.94328,20.181,25326.214
40.85079,-73.94355,26.92,25353.133
40.85078,-73.94362,5.992,25359.125
40.85079,-73.94373,9.319,25368.444
40.8509,-73.94377,12.686,25381.13
40.85097,-73.94369,10.289,25391.418
40.85108,-73.9435,20.124,25411.543
40.85123,-73.94337,19.944,25431.487
40.8513,-73.94332,8.847,25440.334
40.85138,-73.94333,8.935,25449.269
40.8515,-73.94346,17.251,25466.52
40.85154,-73.94351,6.121,25472.641
40.85155,-73.94359,6.82,25479.461
40.85153,-73.94382,19.472,25498.934
40.85136,-73.94458,66.659,25565.593
40.8513,-73.94493,30.185,25595.777
40.85125,-73.94509,14.561,25610.338
40.8512,-73.94517,8.728,25619.067
40.85073,-73.94562,64.528,25683.594
40.85073,-73.94563,0.841,25684.435
40.85017,-73.94605,71.592,25756.027
40.84977,-73.94626,47.857,25803.884
40.84927,-73.94646,58.087,25861.971
40.84901,-73.9465,29.106,25891.077
40.8481849999366,-73.9465200002506,91.751,25982.828
40.84736,-73.94654,91.751,26074.579
40.84724,-73.94635,20.82,26095.399
40.84704,-73.94631,22.492,26117.891
40.84695,-73.94633,10.148,26128.039
40.84673,-73.9461,31.188,26159.227
40.8466,-73.94605,15.055,26174.282
40.84614,-73.94601,51.26,26225.542
40.84613,-73.94601,1.112,26226.654
40.84539,-73.94601,82.284,26308.938
40.84508,-73.94605,34.634,26343.573
40.84463,-73.94601,50.151,26393.723
40.84441,-73.94601,24.463,26418.186
40.84368,-73.9461,81.525,26499.711
40.84283,-73.94602,94.755,26594.466
40.84243,-73.94614,45.609,26640.075
40.84206,-73.94628,42.794,26682.869
40.84206,-73.94629,0.841,26683.71
40.84146,-73.94655,70.21,26753.921
40.84084,-73.94691,75.299,26829.22
40.8404050002795,-73.9471800017938,53.437,26882.657
40.83997,-73.94745,53.437,26936.094
40.83952,-73.94782,58.929,26995.023
40.83884,-73.94825,83.82,27078.843
40.83852,-73.94838,37.225,27116.068
40.83852,-73.94839,0.841,27116.909
40.83823,-73.94851,33.79,27150.699
40.83818,-73.9486,9.393,27160.092
40.83804,-73.94874,19.521,27179.613
40.83791,-73.94892,20.935,27200.547
40.8378,-73.94901,14.385,27214.933
40.83754,-73.94901,28.911,27243.843
40.83736,-73.94902,20.033,27263.876
40.83713,-73.94914,27.495,27291.371
40.83677,-73.94925,41.086,27332.457
40.83642,-73.94941,41.18,27373.637
40.8358000003659,-73.9496066703351,70.898,27444.536
40.8351800003979,-73.9498033369916,70.898,27515.434
40.83456,-73.95,70.898,27586.333
40.8345,-73.95004,7.472,27593.805
40.83439,-73.94999,12.935,27606.74
40.83409,-73.95018,36.991,27643.73
40.83347,-73.95066,79.898,27723.628
40.83317,-73.9508,35.377,27759.005
40.83281,-73.95081,40.039,27799.044
40.83269,-73.9509,15.342,27814.386
40.83226,-73.95134,60.469,27874.855
40.83215,-73.95139,12.935,27887.79
40.83193,-73.95138,24.477,27912.267
40.83187,-73.95139,6.725,27918.991
